,av_num,title,upload_time,author,view,num_danmaku,reply,favorite,coin,share,like,tags
23,8042121,数学分析 复旦 陈纪修,2017-01-16,delicacyyuu,785900,27292,1643,27023,3234,4077,5789,"[数学系专业课, 数学分析, 数学课]"
9,11038879,复旦大学 庄子精读 全48讲 主讲-陈引驰 视频教程,2017-06-03,choitsjilp,125997,1012,110,14011,415,447,790,"[复旦大学 庄子精读 全48讲 主讲-陈引, 庄子]"
6,7126199,复旦大学计量经济学[谢识予： 共72讲],2016-11-16,叁今巧克力,173214,3302,270,12122,552,922,1122,"[复旦大学, 计量经济学]"
21,13647618,【复旦大学公开课】中国文学批评史,2017-08-22,云锦w,42457,439,85,9035,201,288,342,"[汉语言文学, 教育, 考研, 复旦大学, 中文系, 古代文学, 文学批评, 文学理论, 古代文论]"
39,30520826,【西洋通史】北师大 武大 华东师大 复旦历史课,2018-08-28,文采飘逸,97080,637,214,8515,613,422,952,"[演讲, 历史, 学习, 教育, 讲座, 公开课, 线上课堂]"
24,12504500,复旦大学 马克思主义哲学史 全46讲 主讲-吴晓明 视频教程,2017-07-23,choitsjilp,121071,2094,197,7692,505,756,995,[复旦大学 马克思主义哲学史 全46讲 主]
29,14251245,固体物理复旦大学车静光主讲,2017-09-07,月下唱离歌,110795,2062,139,4535,419,410,760,"[科学, 公开课, 固体物理, 物理, 学习, 量子力学, 理论物理]"
30,19813393,【文学课】复旦大学 中国古代文学史 【主讲-陈引驰】【全50讲】,2018-02-20,海鷗叔叔的孤島,32360,90,29,4505,101,140,261,"[公开课, 中国古代文学史, 陈引驰]"
19,19881053,《生理学》-复旦大学-精品课程- 全64讲 【布谷鸟医学网】,2018-02-22,布谷鸟医学网,40535,42,19,4076,74,120,250,"[临床医学, 预习复习, 考试, 医学, 生理学, 预防医学, 护理医学]"
69,3365331,【复旦电子学基础系列】模拟电子电路授课视频,2015-12-11,Aimoeの桜,35842,286,674,3912,261,216,130,"[张建秋, 电子学, 模拟电子电路, 复旦电子工程]"
1,4560020,半导体物理 复旦大学蒋玉龙,2016-05-05,晚辈君,65485,504,45,3146,183,280,323,"[公开课, 科学, 教育, 物理, 课程, 线上课堂]"
17,12499952,复旦大学 《理想国》导读 全55讲 主讲-丁耘 视频教程,2017-07-23,choitsjilp,40171,315,79,3116,136,267,286,[复旦大学 《理想国》导读 全55讲 主讲]
37,4057173,半导体器件原理 共85集 复旦大学 蒋玉龙,2016-03-10,晚辈君,41344,411,70,3039,163,192,233,"[学习, 视频教程, 教学视频, 课程, 教学]"
101,1170653,量子力学 (复旦大学苏汝铿教授),2014-06-04,OriginLab,31358,258,80,2987,95,119,103,"[每天看1P, 物理, 搬运, 公开课, 量子力学量力学, 复旦大学]"
33,7444044,分析化学【复旦大学】,2016-12-09,雪虞,31159,65,24,2963,81,168,117,"[复旦大学, 分析化学]"
27,24033446,【数学】数学分析 复旦大学 陈纪修主讲（高清720P 音画同步）,2018-05-28,言身寸Qc,53514,159,70,2928,346,225,493,"[学习, 数学, 微积分, 教育, 课程, 公开课, 数学分析, 实函分析, 分析学入门]"
